"","x"
"107","Terrazas, Ciudad de Buenos Aires"
"108","A la Piedra, Ciudad de Buenos Aires"
"109","Vecindá, Ciudad de Buenos Aires"
"110","Cultivar, Ciudad de Buenos Aires"
"111","Bonafide Naon, Ciudad de Buenos Aires"
"112","El Vasquito empanadas, Ciudad de Buenos Aires"
"113","El 425 Bar, Ciudad de Buenos Aires"
"114","Yiyo El Zeneize, Ciudad de Buenos Aires"
"115","El Gato Viejo, Ciudad de Buenos Aires"
"116","Buller Brewing Company, Ciudad de Buenos Aires"
"117","Aleppo Cocina Siria, Ciudad de Buenos Aires"
"118","Lazaro Palermo, Ciudad de Buenos Aires"
"119","Comida Central, Ciudad de Buenos Aires"
"120","Burgertify, Ciudad de Buenos Aires"
"121","Rotiseria Magaly, Ciudad de Buenos Aires"
"122","Don Juan Pizzerìa, Ciudad de Buenos Aires"
"123","Deniro Hamburgueserìa, Ciudad de Buenos Aires"
"124","Mamita Bar, Ciudad de Buenos Aires"
"125","Almacen de Pizzas, Ciudad de Buenos Aires"
"126","La Quintana, Ciudad de Buenos Aires"
"127","Simao, Ciudad de Buenos Aires"
"128","La Tekla, Ciudad de Buenos Aires"
"129","La Farola, Ciudad de Buenos Aires"
"130","Il Vero Amaretto, Ciudad de Buenos Aires"
"131","Orgullo, Ciudad de Buenos Aires"
"132","Pizzerías Kentucky, Ciudad de Buenos Aires"
"133","Cuadra, Ciudad de Buenos Aires"
"134","Samhain Pub, Ciudad de Buenos Aires"
"135","Nuevo Belgrano, Ciudad de Buenos Aires"
"136","Goyena Coffee &amp; Brunch, Ciudad de Buenos Aires"
"137","Nouch-I Bakery, Ciudad de Buenos Aires"
"138","Gitana Gaucha, Ciudad de Buenos Aires"
"139","Uriburu Pizza Shop, Ciudad de Buenos Aires"
"140","Möoi, Ciudad de Buenos Aires"
"141","Vaiven Resto, Ciudad de Buenos Aires"
"142","PIBÄ, Ciudad de Buenos Aires"
"143","Buenos Aires Pizza, Ciudad de Buenos Aires"
"144","Skål Cervecería, Ciudad de Buenos Aires"
"145","El Complice, Ciudad de Buenos Aires"
"146","Helados Venezia, Ciudad de Buenos Aires"
"147","Shambala, Ciudad de Buenos Aires"
"148","Zanubia, Ciudad de Buenos Aires"
"149","Restaurante Spezia, Ciudad de Buenos Aires"
"150","Sam Burger, Ciudad de Buenos Aires"
"151","La Panera Rosa, Ciudad de Buenos Aires"
"152","Taste of Home, Ciudad de Buenos Aires"
"153","Plaza salamanca, Ciudad de Buenos Aires"
"154","Be Sushi, Ciudad de Buenos Aires"
"155","La Nueva Esquina de Omar, Ciudad de Buenos Aires"
"156","Brew Republic, Ciudad de Buenos Aires"
"157","Vulture's Bar, Ciudad de Buenos Aires"
"158","El Maitén Empanadas, Ciudad de Buenos Aires"
"159","Omi Resto Bar &amp; Music, Ciudad de Buenos Aires"
"160","Nuñez Cerveza Local, Ciudad de Buenos Aires"
"161","Downtempo Bar, Ciudad de Buenos Aires"
"162","Tea Connection, Ciudad de Buenos Aires"
"163","La Tablita Fiambreria y Queseria, Ciudad de Buenos Aires"
"164","Puertonatural, Ciudad de Buenos Aires"
