"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"62","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",13,75,-34.5919878,-58.3895072,2021-03-27
"63","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",14,70.5,-34.5919878,-58.3895072,2021-03-27
"64","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",15,57.75,-34.5919878,-58.3895072,2021-03-27
"65","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",16,46.5,-34.5919878,-58.3895072,2021-03-27
"66","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",17,43.5,-34.5919878,-58.3895072,2021-03-27
"67","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",18,47.25,-34.5919878,-58.3895072,2021-03-27
"68","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",19,51,-34.5919878,-58.3895072,2021-03-27
"69","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",20,49.5,-34.5919878,-58.3895072,2021-03-27
"70","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",21,41.25,-34.5919878,-58.3895072,2021-03-27
"71","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",22,28.5,-34.5919878,-58.3895072,2021-03-27
"72","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",23,13.5,-34.5919878,-58.3895072,2021-03-27
"73","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",6,0,-34.5919878,-58.3895072,2021-03-27
"74","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",7,0.75,-34.5919878,-58.3895072,2021-03-27
"75","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",8,12,-34.5919878,-58.3895072,2021-03-27
"76","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",9,30.75,-34.5919878,-58.3895072,2021-03-27
"77","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",10,45,-34.5919878,-58.3895072,2021-03-27
"78","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",11,51.75,-34.5919878,-58.3895072,2021-03-27
"79","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",12,51.75,-34.5919878,-58.3895072,2021-03-27
"80","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",13,51.75,-34.5919878,-58.3895072,2021-03-27
"81","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",14,54.75,-34.5919878,-58.3895072,2021-03-27
"82","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",15,55.5,-34.5919878,-58.3895072,2021-03-27
"83","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",16,51,-34.5919878,-58.3895072,2021-03-27
"84","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",17,39.75,-34.5919878,-58.3895072,2021-03-27
"85","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",18,31.5,-34.5919878,-58.3895072,2021-03-27
"86","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",19,33,-34.5919878,-58.3895072,2021-03-27
"87","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",20,45,-34.5919878,-58.3895072,2021-03-27
"88","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",21,54.75,-34.5919878,-58.3895072,2021-03-27
"89","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",22,51,-34.5919878,-58.3895072,2021-03-27
"90","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","viernes",23,31.5,-34.5919878,-58.3895072,2021-03-27
"91","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",6,0,-34.5919878,-58.3895072,2021-03-27
"92","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",7,0.75,-34.5919878,-58.3895072,2021-03-27
"93","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",8,5.25,-34.5919878,-58.3895072,2021-03-27
"94","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",9,16.5,-34.5919878,-58.3895072,2021-03-27
"95","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",10,28.5,-34.5919878,-58.3895072,2021-03-27
"96","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",11,41.25,-34.5919878,-58.3895072,2021-03-27
"97","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",12,51,-34.5919878,-58.3895072,2021-03-27
"98","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",13,58.5,-34.5919878,-58.3895072,2021-03-27
"99","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",14,61.5,-34.5919878,-58.3895072,2021-03-27
"100","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",15,59.25,-34.5919878,-58.3895072,2021-03-27
"101","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",16,53.25,-34.5919878,-58.3895072,2021-03-27
"102","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",17,43.5,-34.5919878,-58.3895072,2021-03-27
"103","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",18,35.25,-34.5919878,-58.3895072,2021-03-27
"104","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",19,37.5,-34.5919878,-58.3895072,2021-03-27
"105","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",20,54,-34.5919878,-58.3895072,2021-03-27
"106","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",21,72,-34.5919878,-58.3895072,2021-03-27
"107","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",22,65.25,-34.5919878,-58.3895072,2021-03-27
"108","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","sabado",23,32.25,-34.5919878,-58.3895072,2021-03-27
"109","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",6,0,-34.5919878,-58.3895072,2021-03-27
"110","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",7,0.75,-34.5919878,-58.3895072,2021-03-27
"111","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",8,0.75,-34.5919878,-58.3895072,2021-03-27
"112","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",9,10.5,-34.5919878,-58.3895072,2021-03-27
"113","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",10,22.5,-34.5919878,-58.3895072,2021-03-27
"114","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",11,33,-34.5919878,-58.3895072,2021-03-27
"115","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",12,39.75,-34.5919878,-58.3895072,2021-03-27
"116","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",13,43.5,-34.5919878,-58.3895072,2021-03-27
"117","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",14,47.25,-34.5919878,-58.3895072,2021-03-27
"118","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",15,53.25,-34.5919878,-58.3895072,2021-03-27
"119","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",16,60.75,-34.5919878,-58.3895072,2021-03-27
"120","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",17,67.5,-34.5919878,-58.3895072,2021-03-27
"121","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",18,71.25,-34.5919878,-58.3895072,2021-03-27
"122","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",19,68.25,-34.5919878,-58.3895072,2021-03-27
"123","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",20,57.75,-34.5919878,-58.3895072,2021-03-27
"124","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",21,42.75,-34.5919878,-58.3895072,2021-03-27
"125","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",22,25.5,-34.5919878,-58.3895072,2021-03-27
"126","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","domingo",23,9.75,-34.5919878,-58.3895072,2021-03-27
